web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,link1,link1-href,link2,link2-href,paginacion,paginacion-href
1619052402-1029,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Julio César Albores,Muy bueno,Revisado en México el 22 de mayo de 2020,"Primero que nada el embalaje fue muy bueno vino completamente protegido y con todos los sellos se seguridad.
Al destapar la botella llega ese toque ahumado que tiene el mezcla.
Eso si, el sabor es fuerte pero rico.",5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-200-ml/product-reviews/B07FKQV2T9/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,Mezcal Ojo de Tigre Joven 200 ml,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-200-ml/dp/B07FKQV2T9/ref=zg_bs_17836295011_5?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-200-ml/product-reviews/B07FKQV2T9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052598-1352,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Zarfit,Mezcal alerón,Revisado en México el 28 de junio de 2020,"Mejor de de lo esperado, excelente sabor.",5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,Mezcal Alerón Agave Cenizo 750 ml | 1 Botella,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/dp/B085FSGRGM/ref=zg_bs_17836295011_1?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619051972-495,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Sergio Martinez Garcia,Excelente costo-beneficio,Revisado en México el 4 de agosto de 2019,Llegó antes de lo esperado,5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Amores-Joven-750-ml/product-reviews/B07FPZ7Y3C/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,MEZCAL AMARÁS ESPADÍN JOVEN - 750 ML / 37°,https://www.amazon.com.mx/Mezcal-Amores-Joven-750-ml/dp/B07FPZ7Y3C/ref=zg_bs_17836295011_28?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Amores-Joven-750-ml/product-reviews/B07FPZ7Y3C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619050856-170,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Alberto Satisfaction,No llegó sano y salvo a destino.,Revisado en México el 29 de noviembre de 2018,En realidad no puedo emitir un juicio sobre el mezcal porque nunca lo probé; al parecer se destruyó al transportarlo. De ahí la mala calificación.,1.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Artesanal-Barro-Cobre-Ensamble/product-reviews/B07D9XCQ31/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,Mezcal Artesanal Barro de Cobre Ensamble 950 ml,https://www.amazon.com.mx/Mezcal-Artesanal-Barro-Cobre-Ensamble/dp/B07D9XCQ31/ref=zg_bs_17836295011_72?_encoding=UTF8&psc=1&refRID=V7HAJ98156S90DDFXA6J,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Artesanal-Barro-Cobre-Ensamble/product-reviews/B07D9XCQ31/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_2?ie=UTF8&pg=2
1619052253-778,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Ramon Reyes,"Buen sabor, buen precio.",Revisado en México el 19 de noviembre de 2020,"Buen producto, altamente recomendable.",5.0 de 5 estrellas,,,Mezcal 400 Conejos Reposado 750 Ml,https://www.amazon.com.mx/Mezcal-400-Conejos-Reposado-750/dp/B07FPVPK4T/ref=zg_bs_17836295011_11?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-400-Conejos-Reposado-750/product-reviews/B07FPVPK4T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052372-939,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Francisco Alfaro Gallaga,Que mezcal!!!!,Revisado en México el 13 de diciembre de 2020,"Este mezcal espadín, es una verdadera joya, su aperlado lo veo bien, aunque tiene 36 grados de alcohol es muy suave y te deja un ahumado esquisito",5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Mil-Diablos-36%C2%B0-700/product-reviews/B07GCG1YFH/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,Mezcal Mil Diablos 36° 700 ml,https://www.amazon.com.mx/Mezcal-Mil-Diablos-36%C2%B0-700/dp/B07GCG1YFH/ref=zg_bs_17836295011_6?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Mil-Diablos-36%C2%B0-700/product-reviews/B07GCG1YFH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052173-709,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Arturo Crranz,Excelente,Revisado en México el 24 de septiembre de 2020,"Excelente sabor, recomendado",5.0 de 5 estrellas,,,Mezcal Artesanal Nayaá Aromas De Guerrero Joven 750 ml,https://www.amazon.com.mx/Mezcal-Nayaa-Aromas-Guerrero-750/dp/B07GQ7579Q/ref=zg_bs_17836295011_15?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Nayaa-Aromas-Guerrero-750/product-reviews/B07GQ7579Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619051167-234,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Iván Padilla,Toda una nueva experiencia,Revisado en México el 21 de diciembre de 2020,"Toda una nueva experiencia al paladar. Además, como plus, todos los beneficios del chilcuas.",5.0 de 5 estrellas,,,Destilado Chilcuague 750 ml,https://www.amazon.com.mx/Chilcuague-Destilado-750-ml/dp/B08DHLMKNX/ref=zg_bs_17836295011_55?_encoding=UTF8&psc=1&refRID=V7HAJ98156S90DDFXA6J,Ver todas las opiniones,https://www.amazon.com.mx/Chilcuague-Destilado-750-ml/product-reviews/B08DHLMKNX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_2?ie=UTF8&pg=2
1619050868-175,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Alejandro,Para los amantes del mezcal y que quieren que otras personas lo disfruten.,Revisado en México el 18 de octubre de 2019,"Buen sabor y calidad, la botella trae un tapón de cera que tienes que cortar justo en la boquilla para poder liberar el corcho.

Si no conoces el mezcal esta presentación es la adecuada.",5.0 de 5 estrellas,,,Mezcal Joven Bruxo Receta Inicial - 750 ml,https://www.amazon.com.mx/Mezcal-Joven-Bruxo-Receta-Inicial/dp/B07GCGF2X9/ref=zg_bs_17836295011_70?_encoding=UTF8&psc=1&refRID=V7HAJ98156S90DDFXA6J,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Joven-Bruxo-Receta-Inicial/product-reviews/B07GCGF2X9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_2?ie=UTF8&pg=2
1619052635-1431,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Ana G.,Esta súper rico,Revisado en México el 23 de julio de 2020,"Llego, súper rápido y en buen estado y esta muy rico",5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews,Mezcal Alerón Agave Cenizo 750 ml | 1 Botella,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/dp/B085FSGRGM/ref=zg_bs_17836295011_1?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052383-957,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Cesar,"Balanceado, buen sabor, un rico mezcal",Revisado en México el 24 de julio de 2019,"Si eres de los que no les gusta el sabor fuerte del alcohol, este es un mezcal para ti. Como todo buen mezcal, tiene un saborcito ahumado! Además el tamaño es ideal para probarlo y darte cuenta si te gusta o no.",5.0 de 5 estrellas,,,Mezcal Ojo de Tigre Joven 200 ml,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-200-ml/dp/B07FKQV2T9/ref=zg_bs_17836295011_5?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-200-ml/product-reviews/B07FKQV2T9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
