web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,link1,link1-href,link2,link2-href,paginacion,paginacion-href
1619051268-294,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,j. jesus gallardo vela,Una delicia de mezcal artesanal,Revisado en México el 23 de septiembre de 2020,"Me ha gustado mucho este mezcal artesanal, joven y de origen oaxaqueño, como aperitivo a la par de una buena cerveza IPA, es un orgullo de producto mexicano, pues su presentación también está muy cuidada a la altura de un producto de exportación.",5.0 de 5 estrellas,,,Mezcal Artesanal Barro de Cobre Espadín 475 ml,https://www.amazon.com.mx/Mezcal-Artesanal-Barro-Cobre-Espad%C3%ADn/dp/B07D9XXQY2/ref=zg_bs_17836295011_46?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Artesanal-Barro-Cobre-Espad%C3%ADn/product-reviews/B07D9XXQY2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052616-1389,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Isaac Hermosillo,Mucha mercadotecnia y poca calidad,Revisado en México el 29 de agosto de 2020,"Muy caro para la calidad que es, hay mejores mezcales y a menor precio. Lo compré porque un amigo me comentó que estaba bueno pero la verdad es que tiene un sabor demasiado suave en alcohol y demasiado fuerte en ahumado. No lo recomiendo y encuentro muy parecido al mezcal burrito fiestero que es aún más barato.",2.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews,Mezcal Alerón Agave Cenizo 750 ml | 1 Botella,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/dp/B085FSGRGM/ref=zg_bs_17836295011_1?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052374-954,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,,,,,,null,https://www.amazon.com.mx/Mezcal-Mil-Diablos-36%C2%B0-700/product-reviews/B07GCG1YFH/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Mezcal Mil Diablos 36° 700 ml,https://www.amazon.com.mx/Mezcal-Mil-Diablos-36%C2%B0-700/dp/B07GCG1YFH/ref=zg_bs_17836295011_6?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Mil-Diablos-36%C2%B0-700/product-reviews/B07GCG1YFH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619050480-15,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Katia,Recomendado,Revisado en México el 24 de marzo de 2021,"Buen mezcal, viene muy bien protegido y la botella bien empaquetada",5.0 de 5 estrellas,,,Mezcal Contraluz Añejo Cristalino 750 ml,https://www.amazon.com.mx/Mezcal-Contraluz-A%C3%B1ejo-Cristalino-750/dp/B07DQ6G2LV/ref=zg_bs_17836295011_97?_encoding=UTF8&psc=1&refRID=V7HAJ98156S90DDFXA6J,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Contraluz-A%C3%B1ejo-Cristalino-750/product-reviews/B07DQ6G2LV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_2?ie=UTF8&pg=2
1619052293-802,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Pablo Rodrigo Moyado Camargo,Excelente,Revisado en México el 9 de agosto de 2020,"Este mezcal es una pasada, desde mi punto de vista, es de los mejores que he probado. El envío de Amazon como siempre perfecto, llegó sin ningún problema. Si buscas compartir un buen momento con tus amigos/familia acompañado de una buena botella de mezcal, esta es una gran opción.",5.0 de 5 estrellas,,,MEZCAL AMARÁS CUPREATA (PAPALOTE) - 750 ML / 40.3°,https://www.amazon.com.mx/Mezcal-Amores-Cupreata-Papalote-750/dp/B07NZWJBLN/ref=zg_bs_17836295011_10?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Amores-Cupreata-Papalote-750/product-reviews/B07NZWJBLN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052082-631,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Martha VG,"Suave, rico, claro",Revisado en México el 4 de noviembre de 2020,Gran producto,5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Artesanal-Maguey-Espad%C3%ADn-Oaxaca/product-reviews/B07MXR4MK4/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,MITRE Mezcal Artesanal Joven 100% Maguey Espadín Selecto hecho en Oaxaca,https://www.amazon.com.mx/Mezcal-Artesanal-Maguey-Espad%C3%ADn-Oaxaca/dp/B07MXR4MK4/ref=zg_bs_17836295011_21?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Artesanal-Maguey-Espad%C3%ADn-Oaxaca/product-reviews/B07MXR4MK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052137-690,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Arevalo,No sé entrego,Revisado en México el 5 de septiembre de 2020,No se entregó,1.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Verde-Momento-Espadin-Joven/product-reviews/B07FK454NV/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Mezcal Verde Espadin Joven 700 ml,https://www.amazon.com.mx/Mezcal-Verde-Momento-Espadin-Joven/dp/B07FK454NV/ref=zg_bs_17836295011_17?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Verde-Momento-Espadin-Joven/product-reviews/B07FK454NV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052358-911,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Paul Moreno,Recomendado,Revisado en México el 12 de agosto de 2020,Bueno bonito y barato,5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Origen-Mezcal-Artesanal-Maguey-Espad%C3%ADn/product-reviews/B07V9JYWT8/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,Mitre Origen Mezcal Artesanal Joven 100% Maguey Espadín Oaxaca,https://www.amazon.com.mx/Origen-Mezcal-Artesanal-Maguey-Espad%C3%ADn/dp/B07V9JYWT8/ref=zg_bs_17836295011_7?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Origen-Mezcal-Artesanal-Maguey-Espad%C3%ADn/product-reviews/B07V9JYWT8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052566-1282,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Cliente de Amazon,Gran Mezcal!,Revisado en México el 9 de junio de 2020,"¡Un gran mezcal! Es suave y con sabor a leña, su calidad puede competir contra cualquier mezcal de otro estado. Súper recomendado",5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,Mezcal Alerón Agave Cenizo 750 ml | 1 Botella,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/dp/B085FSGRGM/ref=zg_bs_17836295011_1?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052402-1032,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,HUMBERTO R.,Muy recomendable,Revisado en México el 12 de mayo de 2020,Un sabor ligero de principio y después viene una explosión de sabor y ardor del bueno,5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-200-ml/product-reviews/B07FKQV2T9/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,Mezcal Ojo de Tigre Joven 200 ml,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-200-ml/dp/B07FKQV2T9/ref=zg_bs_17836295011_5?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-200-ml/product-reviews/B07FKQV2T9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052173-712,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Jorge Gómez Leyva,Lo mejor!!!,Revisado en México el 14 de junio de 2020,Una gran combinación que hace disfrutar cada trago de la bebida,5.0 de 5 estrellas,,,Mezcal Artesanal Nayaá Aromas De Guerrero Joven 750 ml,https://www.amazon.com.mx/Mezcal-Nayaa-Aromas-Guerrero-750/dp/B07GQ7579Q/ref=zg_bs_17836295011_15?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Nayaa-Aromas-Guerrero-750/product-reviews/B07GQ7579Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052523-1209,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Mauricio Ruiz Arnaut,Recomendado,Revisado en México el 22 de julio de 2019,Bastante sabroso,5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-750-ml/product-reviews/B07DQ5QNNB/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews,Mezcal Ojo de Tigre Joven 750 ml,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-750-ml/dp/B07DQ5QNNB/ref=zg_bs_17836295011_2?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-750-ml/product-reviews/B07DQ5QNNB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052499-1162,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Eugenio Perez Terez,Botella dañada,Revisado en México el 10 de julio de 2020,"La botella llegó dañada, y me dió un poco de desconfianza. El tapón no venia bien sellado y se safa.",3.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-750-ml/product-reviews/B07DQ5QNNB/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews,Mezcal Ojo de Tigre Joven 750 ml,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-750-ml/dp/B07DQ5QNNB/ref=zg_bs_17836295011_2?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-750-ml/product-reviews/B07DQ5QNNB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052571-1287,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Jeny Glz,Excelente sabor,Revisado en México el 31 de mayo de 2020,"La primera vez que lo tomo y es un sabor excelente, buen producto sabor ligero y joven.",5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,Mezcal Alerón Agave Cenizo 750 ml | 1 Botella,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/dp/B085FSGRGM/ref=zg_bs_17836295011_1?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052417-1058,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Jessica Olea,El empaque es muy bueno,Revisado en México el 17 de mayo de 2019,Llego de un día a otro y perfectamente buen empacado.,5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-400-Conejos-Espadin-Joven/product-reviews/B07DPS4LCC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Mezcal 400 Conejos Espadin Joven 750 ml,https://www.amazon.com.mx/Mezcal-400-Conejos-Espadin-Joven/dp/B07DPS4LCC/ref=zg_bs_17836295011_4?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-400-Conejos-Espadin-Joven/product-reviews/B07DPS4LCC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052079-627,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Raul rom,Nada recomendable,Revisado en México el 13 de diciembre de 2019,"Raro , no muy ahumado por abajo en niveles de cata , recomiendo montelobos",1.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Artesanal-Maguey-Espad%C3%ADn-Oaxaca/product-reviews/B07MXR4MK4/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,MITRE Mezcal Artesanal Joven 100% Maguey Espadín Selecto hecho en Oaxaca,https://www.amazon.com.mx/Mezcal-Artesanal-Maguey-Espad%C3%ADn-Oaxaca/dp/B07MXR4MK4/ref=zg_bs_17836295011_21?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Artesanal-Maguey-Espad%C3%ADn-Oaxaca/product-reviews/B07MXR4MK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052220-764,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Cliente de Amazon,Un mezcal que le gusta a Todos,Revisado en México el 6 de mayo de 2020,"El burrito fiestero es muy fácil de tomar, tiene un sabor más o menos ligero que gusta a todo mundo.",5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Burrito-Fiestero-750mL-Mezcal-Artesanal/product-reviews/B087N6MNJJ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,"Burrito Fiestero 750mL - Mezcal Artesanal 100% agave Cenizo, 42% Alc. Vol",https://www.amazon.com.mx/Burrito-Fiestero-750mL-Mezcal-Artesanal/dp/B087N6MNJJ/ref=zg_bs_17836295011_12?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Burrito-Fiestero-750mL-Mezcal-Artesanal/product-reviews/B087N6MNJJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052353-887,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Raúl García,Muy bueno!!!,Revisado en México el 23 de mayo de 2020,No quería poner una opinión porque temo que después de muchas buenas opiniones le vayan a subir al precio pero la verdad es que se merece una muy buena calificación! Mientras no le suban al precio lo seguiré comprando (está sustituyendo mi consumo de Buxo receta inicial),5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Origen-Mezcal-Artesanal-Maguey-Espad%C3%ADn/product-reviews/B07V9JYWT8/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,Mitre Origen Mezcal Artesanal Joven 100% Maguey Espadín Oaxaca,https://www.amazon.com.mx/Origen-Mezcal-Artesanal-Maguey-Espad%C3%ADn/dp/B07V9JYWT8/ref=zg_bs_17836295011_7?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Origen-Mezcal-Artesanal-Maguey-Espad%C3%ADn/product-reviews/B07V9JYWT8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052308-841,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Alba,100% satisfecha,Revisado en México el 22 de julio de 2019,Soy fan del mezcal y este es uno de mis favoritos!,5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Amores-Cupreata-Papalote-750/product-reviews/B07NZWJBLN/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,MEZCAL AMARÁS CUPREATA (PAPALOTE) - 750 ML / 40.3°,https://www.amazon.com.mx/Mezcal-Amores-Cupreata-Papalote-750/dp/B07NZWJBLN/ref=zg_bs_17836295011_10?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Amores-Cupreata-Papalote-750/product-reviews/B07NZWJBLN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052514-1189,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Miguel Angel Moreno,Muy buen mezcal!,Revisado en México el 14 de enero de 2020,"Tiene un gran sabor, y no te da cruda😂",5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-750-ml/product-reviews/B07DQ5QNNB/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,Mezcal Ojo de Tigre Joven 750 ml,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-750-ml/dp/B07DQ5QNNB/ref=zg_bs_17836295011_2?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Ojo-Tigre-750-ml/product-reviews/B07DQ5QNNB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052206-747,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Arturo YC,Probando el primer mezcal,Revisado en México el 12 de julio de 2020,"Primera vez que pruebo el Mezcal, un poco fuerte al principio pero conforme te lo vas tomando te va agradando más al paladar",5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Burrito-Fiestero-750mL-Mezcal-Artesanal/product-reviews/B087N6MNJJ/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,"Burrito Fiestero 750mL - Mezcal Artesanal 100% agave Cenizo, 42% Alc. Vol",https://www.amazon.com.mx/Burrito-Fiestero-750mL-Mezcal-Artesanal/dp/B087N6MNJJ/ref=zg_bs_17836295011_12?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Burrito-Fiestero-750mL-Mezcal-Artesanal/product-reviews/B087N6MNJJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619050807-106,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,YAREDI,Excelente,Revisado en México el 20 de junio de 2019,Este licor es muy versatil lo puedes tomar solo o hacer algunas mezclas y lo mejor es la historia que hay detrás de Xila.,5.0 de 5 estrellas,,,"XILA MX | Licor de Agave 7 Notas, 750 ml",https://www.amazon.com.mx/Xila-Licor-Agave-750-ml/dp/B07JMMLC2D/ref=zg_bs_17836295011_77?_encoding=UTF8&psc=1&refRID=V7HAJ98156S90DDFXA6J,Ver todas las opiniones,https://www.amazon.com.mx/Xila-Licor-Agave-750-ml/product-reviews/B07JMMLC2D/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_2?ie=UTF8&pg=2
1619051490-351,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Luis Gerardo Avila,Sabor bastante ameno,Revisado en México el 17 de abril de 2021,"El mezcal tiene una sensación suave en la boca y deja un sabor un tanto ahumado pero en general tiene buen sabor. Eso si, si no estás acostumbrado a mezcales con alto volumen en alcohol lo sentirás fuerte, y en tal caso te recomendaría uno con menor volumen de alcohol si es que vas empezando en el mezcal.",5.0 de 5 estrellas,,,"Mezcal Artesanal El Tinieblo Jóven Ensamble, Botella de 750 ml, 40º de Volúmen Alcohólico…",https://www.amazon.com.mx/MEZCAL-ARTESANAL-EL-TINIEBLO-ENSAMBLE/dp/B07Y3ZVGLL/ref=zg_bs_17836295011_40?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/MEZCAL-ARTESANAL-EL-TINIEBLO-ENSAMBLE/product-reviews/B07Y3ZVGLL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052144-695,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,,,,,,null,https://www.amazon.com.mx/Mezcal-Verde-Momento-Espadin-Joven/product-reviews/B07FK454NV/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,Mezcal Verde Espadin Joven 700 ml,https://www.amazon.com.mx/Mezcal-Verde-Momento-Espadin-Joven/dp/B07FK454NV/ref=zg_bs_17836295011_17?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Verde-Momento-Espadin-Joven/product-reviews/B07FK454NV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052621-1398,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Mauricio Schiavon,Me desinfecto del Covid,Revisado en México el 16 de octubre de 2020,"Siempre que llego a mi casa y antes de entrar, me doy un shot de mezcal para desinfectarme la garganta y estar libre de Covid, gracias por existir y cuidar mi salud 🙏🏻",5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,Mezcal Alerón Agave Cenizo 750 ml | 1 Botella,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/dp/B085FSGRGM/ref=zg_bs_17836295011_1?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Aler%C3%B3n-Agave-Cenizo-Botella/product-reviews/B085FSGRGM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619050854-163,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,H. Watanabe,Excelente entrega,Revisado en México el 7 de agosto de 2020,El producto viene muy bien empacado. El primer traguito fue muy suave y su sabor es muy agradable. Y con gajos de naranja queda espectacular.,5.0 de 5 estrellas,,,Mezcal Artesanal Barro de Cobre Ensamble 950 ml,https://www.amazon.com.mx/Mezcal-Artesanal-Barro-Cobre-Ensamble/dp/B07D9XCQ31/ref=zg_bs_17836295011_72?_encoding=UTF8&psc=1&refRID=V7HAJ98156S90DDFXA6J,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Artesanal-Barro-Cobre-Ensamble/product-reviews/B07D9XCQ31/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_2?ie=UTF8&pg=2
1619052133-678,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,Cliente de Amazon,agradable buena relación costo . Beneficios,Revisado en México el 10 de noviembre de 2019,Esperaba menos. .. dado la presentación de la botella .. pero el sabor es adecuado con tonalidades cítricas,4.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-Verde-Momento-Espadin-Joven/product-reviews/B07FK454NV/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,Mezcal Verde Espadin Joven 700 ml,https://www.amazon.com.mx/Mezcal-Verde-Momento-Espadin-Joven/dp/B07FK454NV/ref=zg_bs_17836295011_17?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-Verde-Momento-Espadin-Joven/product-reviews/B07FK454NV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
1619052417-1057,https://www.amazon.com.mx/gp/bestsellers/grocery/17836295011/ref=zg_bs_pg_1?ie=UTF8&pg=1,LiliNico,Excelente,Revisado en México el 30 de abril de 2020,Me encanto,5.0 de 5 estrellas,Página siguiente→,https://www.amazon.com.mx/Mezcal-400-Conejos-Espadin-Joven/product-reviews/B07DPS4LCC/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,Mezcal 400 Conejos Espadin Joven 750 ml,https://www.amazon.com.mx/Mezcal-400-Conejos-Espadin-Joven/dp/B07DPS4LCC/ref=zg_bs_17836295011_4?_encoding=UTF8&psc=1&refRID=9HTHBD35MXSPFHT7F25Y,Ver todas las opiniones,https://www.amazon.com.mx/Mezcal-400-Conejos-Espadin-Joven/product-reviews/B07DPS4LCC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,
